object_id,pointer_label,placement_evidence,code_evidence,asset_evidence,proposed_upstream_change,confidence,patch_decision
$2E,Obj_AIZSpikedLog,"Absent from AIZ1 placement; AIZ2 placement: 4 objects","Levels/Misc/Object pointers - SK Set 1.asm:$2E -> Obj_AIZSpikedLog; sonic3k.asm:60043 Obj_AIZSpikedLog","sonic3k.asm references Map_AIZSpikedLog; Levels/AIZ/Misc Object Data/Map - Spiked Log.asm","Patched labels: AIZSpikedLog_Main, AIZSpikedLog_StartSpin, AIZSpikedLog_IdleFrames, AIZSpikedLog_HurtChild, AIZSpikedLog_HurtOffsets",high,patched
$32,Obj_AIZDrawBridge,"Absent from AIZ1 placement; AIZ2 placement: 2 objects","Levels/Misc/Object pointers - SK Set 1.asm:$32 -> Obj_AIZDrawBridge; sonic3k.asm:59495 Obj_AIZDrawBridge","sonic3k.asm references Map_AIZDrawBridge; Levels/AIZ/Misc Object Data/Map - Drawbridge.asm","Patched labels: AIZDrawBridge_Main, AIZDrawBridge_UpdateSegments, AIZDrawBridge_SpawnPieces, AIZDrawBridge_FallingPiece, AIZDrawBridge_PieceTimers",high,patched
$35,Obj_AIZForegroundPlant,"AIZ1 placement: 64 objects; absent from AIZ2 placement","Levels/Misc/Object pointers - SK Set 1.asm:$35 -> Obj_AIZForegroundPlant; sonic3k.asm:60435 Obj_AIZForegroundPlant","sonic3k.asm references Map_AIZForegroundPlant; Levels/AIZ/Misc Object Data/Map - Foreground Plant.asm","Patched labels: AIZForegroundPlant_FrameData, AIZForegroundPlant_Index, AIZForegroundPlant_Static, AIZForegroundPlant_Parallax16 through AIZForegroundPlant_ParallaxDouble",high,patched
$84,Obj_AIZPlaneIntro,"Spawned by code at sonic3k.asm:8125; pointer table entry exists; not normal AIZ placement","Levels/Misc/Object pointers - SK Set 1.asm:$84 -> Obj_AIZPlaneIntro; sonic3k.asm:135469 Obj_AIZPlaneIntro","sonic3k.asm references Map_AIZIntroPlane and ArtKosM_AIZIntroPlane; Levels/AIZ/Misc Object Data/Map - Intro Plane.asm; Levels/AIZ/KosinskiM Art/Intro Plane.bin","Scripted intro object; label routine states only with direct code evidence",high,ready
$8C,Obj_Bloominator,"AIZ1 placement: 2 objects; AIZ2 placement: 11 objects","Levels/Misc/Object pointers - SK Set 1.asm:$8C -> Obj_Bloominator; sonic3k.asm:182274 Obj_Bloominator","Levels/AIZ/Debug lists Obj_Bloominator with Map_Bloominator; PLCKosM_AIZ loads ArtKosM_AIZ_Bloominator","Badnik identity already clear; audit placement/art ownership for future badnik pass",high,defer
$8D,Obj_Rhinobot,"AIZ1 placement: 3 objects; AIZ2 placement: 9 objects","Levels/Misc/Object pointers - SK Set 1.asm:$8D -> Obj_Rhinobot; sonic3k.asm:182372 Obj_Rhinobot","Levels/AIZ/Debug lists Obj_Rhinobot with Map_Rhinobot; DPLCPtr_AIZRhinobot and ArtUnc_AIZRhinobot are in sonic3k.asm","Badnik identity already clear; audit placement/art ownership for future badnik pass",high,defer
$8E,Obj_MonkeyDude,"AIZ1 placement: 5 objects; AIZ2 placement: 1 object","Levels/Misc/Object pointers - SK Set 1.asm:$8E -> Obj_MonkeyDude; sonic3k.asm:182697 Obj_MonkeyDude","Levels/AIZ/Debug lists Obj_MonkeyDude with Map_MonkeyDude; PLCKosM_AIZ loads ArtKosM_AIZ_MonkeyDude","Badnik identity already clear; audit placement/art ownership for future badnik pass",high,defer
$8F,Obj_CaterKillerJr,"Absent from AIZ1 placement; AIZ2 placement: 14 objects","Levels/Misc/Object pointers - SK Set 1.asm:$8F -> Obj_CaterKillerJr; sonic3k.asm:183322 Obj_CaterKillerJr","Levels/AIZ/Debug lists Obj_CaterKillerJr with Map_CaterKillerJr; PLCKosM_AIZ loads ArtKosM_AIZ_CaterkillerJr","Badnik identity already clear; audit placement/art ownership for future badnik pass",high,defer
$90,Obj_AIZMinibossCutscene,"AIZ1 placement: 1 object; absent from AIZ2 placement","Levels/Misc/Object pointers - SK Set 1.asm:$90 -> Obj_AIZMinibossCutscene; sonic3k.asm:136739 Obj_AIZMinibossCutscene","Shares ObjDat_AIZMiniboss, Pal_AIZMiniboss, Map_AIZMiniboss, Map_AIZMinibossSmall, Map_AIZMinibossFlame data","Scripted miniboss cutscene; candidate for routine state labels after main miniboss pass",high,defer
$91,Obj_AIZMiniboss,"Spawned by AIZ2 resize/event code at sonic3k.asm:39083 and 39194; not normal AIZ placement","Levels/Misc/Object pointers - SK Set 1.asm:$91 -> Obj_AIZMiniboss; sonic3k.asm:137227 Obj_AIZMiniboss","sonic3k.asm uses ObjDat_AIZMiniboss, Child1_AIZ_MinibossFlames, Pal_AIZMiniboss; AIZ miniboss map/palette files","Scripted miniboss; larger state-machine label pass should be separate from low-risk terrain objects",medium,defer
$92,Obj_AIZEndBoss,"Absent from AIZ1 placement; AIZ2 placement: 2 objects","Levels/Misc/Object pointers - SK Set 1.asm:$92 -> Obj_AIZEndBoss; sonic3k.asm:138002 Obj_AIZEndBoss","sonic3k.asm uses ObjDat_AIZEndBoss, ObjDat_AIZEndBoss2, Pal_AIZEndBoss; Levels/AIZ/Misc Object Data/Map - End Boss.asm","Scripted end boss; defer until boss state-machine pass",medium,defer
